month,exams prepared,hours of work,iphone photos and videos,camera photos and videos,journal pages
Sep-21,0,0,667,270,2
Oct-21,0,0,753,884,3
Nov-21,0,0,546,589,10
Dec-21,1,0,713,1181,5
Jan-22,1,0,558,507,2
Feb-22,1,0,389,119,0
Mar-22,0,0,496,438,0
Apr-22,1,0,558,299,0
May-22,1,0,767,120,1
Jun-22,1,0,788,147,0
Jul-22,0,0,811,684,0
Aug-22,0,0,730,504,0
Sep-22,0,0,998,739,3
Oct-22,0,0,556,339,0
Nov-22,0,0,989,593,0
Dec-22,1,0,527,347,4
Jan-23,0,0,492,242,0
Feb-23,1,15,585,434,0
Mar-23,1,16,566,95,0
Apr-23,1,15,898,540,0
May-23,1,10,792,493,0
Jun-23,1,0,446,208,2
Jul-23,0,0,753,510,0
Aug-23,0,0,958,1020,0
Sep-23,0,0,928,288,0
Oct-23,0,0,505,90,0
Nov-23,1,0,613,410,0
Dec-23,0,0,536,204,1
Jan-24,1,0,479,192,1
Feb-24,1,32,269,209,0
Mar-24,1,32,384,229,0
Apr-24,1,32,564,200,2
May-24,1,32,338,112,5
Jun-24,1,10,317,633,10
Jul-24,0,0,507,1024,2
Aug-24,0,0,603,746,0
Sep-24,0,25,230,132,8
Oct-24,0,40,320,396,7
Nov-24,0,50,322,278,8
Dec-24,0,40,567,488,12
Jan-25,2,25,783,625,15
Feb-25,1,40,281,76,10
Mar-25,0,45,385,361,16
Apr-25,2,40,368,275,23
May-25,3,40,496,304,21
Jun-25,3,15,386,298,15
Jul-25,2,0,583,282,18
Aug-25,0,0,533,343,9
Sep-25,0,30,255,61,17
Oct-25,1,40,273,61,20
Nov-25,1,40,747,408,26
Dec-25,3,40,467,176,22
Jan-26,3,40,216,45,16
Feb-26,2,60,103,23,19
Mar-26,1,60,363,75,24
Apr-26,3,60,231,166,18
,,,,,
