month,iphone photos and videos,camera photos and videos,journal pages,my age,university year,academic period,exams prepared,hours of work,travel days
Sep-21,667,270,2,18,1,lectures,0,0,0
Oct-21,753,884,3,18,1,lectures,0,0,0
Nov-21,546,589,10,18,1,lectures,0,0,0
Dec-21,713,1181,5,19,1,lectures,1,0,0
Jan-22,558,507,2,19,1,exam session,1,0,0
Feb-22,389,119,0,19,1,exam session,1,0,0
Mar-22,496,438,0,19,1,lectures,0,0,0
Apr-22,558,299,0,19,1,lectures,1,0,0
May-22,767,120,1,19,1,lectures,1,0,0
Jun-22,788,147,0,19,1,exam session,1,0,0
Jul-22,811,684,0,19,1,summer break,0,0,2
Aug-22,730,504,0,19,1,summer break,0,0,5
Sep-22,998,739,3,19,2,lectures,0,0,6
Oct-22,556,339,0,19,2,lectures,0,0,0
Nov-22,989,593,0,19,2,lectures,0,0,6
Dec-22,527,347,4,20,2,lectures,1,0,0
Jan-23,492,242,0,20,2,exam session,0,0,3
Feb-23,585,434,0,20,2,exam session,1,15,4
Mar-23,566,95,0,20,2,lectures,1,16,0
Apr-23,898,540,0,20,2,lectures,1,15,1
May-23,792,493,0,20,2,lectures,1,10,2
Jun-23,446,208,2,20,2,exam session,1,0,0
Jul-23,753,510,0,20,2,summer break,0,0,4
Aug-23,958,1020,0,20,2,summer break,0,0,6
Sep-23,928,288,0,20,3,lectures,0,0,5
Oct-23,505,90,0,20,3,lectures,0,0,1
Nov-23,613,410,0,20,3,lectures,1,0,4
Dec-23,536,204,1,21,3,lectures,0,0,2
Jan-24,479,192,1,21,3,exam session,1,0,3
Feb-24,269,209,0,21,3,exam session,1,32,0
Mar-24,384,229,0,21,3,lectures,1,32,0
Apr-24,564,200,2,21,3,lectures,1,32,0
May-24,338,112,5,21,3,lectures,1,32,0
Jun-24,317,633,10,21,3,exam session,1,10,0
Jul-24,507,1024,2,21,3,bachelor graduation,0,0,3
Aug-24,603,746,0,21,3,summer break,0,0,12
Sep-24,230,132,8,21,4,summer break,0,25,0
Oct-24,320,396,7,21,4,lectures,0,40,2
Nov-24,322,278,8,21,4,lectures,0,50,0
Dec-24,567,488,12,22,4,lectures,0,40,3
Jan-25,783,625,15,22,4,exam session,2,25,7
Feb-25,281,76,10,22,4,exam session,1,40,2
Mar-25,385,361,16,22,4,lectures,0,45,5
Apr-25,368,275,23,22,4,lectures,2,40,0
May-25,496,304,21,22,4,exam session,3,40,0
Jun-25,386,298,15,22,4,exam session,3,15,1
Jul-25,583,282,18,22,4,exam session,2,0,15
Aug-25,533,343,9,22,4,summer break,0,0,15
Sep-25,255,61,17,22,5,lectures,0,30,0
Oct-25,273,61,20,22,5,lectures,1,40,1
Nov-25,747,408,26,22,5,lectures,1,40,6
Dec-25,467,176,22,23,5,exam session,3,40,3
Jan-26,216,45,16,23,5,exam session,3,40,2
Feb-26,103,23,19,23,5,exam session,2,60,0
Mar-26,363,75,24,23,5,lectures,1,60,1
Apr-26,231,166,18,23,5,lectures,3,60,
